"country","iso2c","iso3c","year","NY.GDP.MKTP.KD.ZG"
"Australia","AU","AUS",2020,-0.0508853360838941
"Australia","AU","AUS",2019,2.1713962244835
"Australia","AU","AUS",2018,2.88304512347683
"Australia","AU","AUS",2017,2.28218364248465
"Australia","AU","AUS",2016,2.73054799209893
"Australia","AU","AUS",2015,2.1527359059391
"Australia","AU","AUS",2014,2.57901711177597
"Australia","AU","AUS",2013,2.57875428825342
"Australia","AU","AUS",2012,3.902007806318
"Australia","AU","AUS",2011,2.3913851323057
"Australia","AU","AUS",2010,2.20656631017093
"Bangladesh","BD","BGD",2020,3.44802145482763
"Bangladesh","BD","BGD",2019,7.88191515117722
"Bangladesh","BD","BGD",2018,7.31941263014136
"Bangladesh","BD","BGD",2017,6.59024999794057
"Bangladesh","BD","BGD",2016,7.11347821325363
"Bangladesh","BD","BGD",2015,6.55263987878382
"Bangladesh","BD","BGD",2014,6.0610593589202
"Bangladesh","BD","BGD",2013,6.0136056584178
"Bangladesh","BD","BGD",2012,6.52145878055326
"Bangladesh","BD","BGD",2011,6.46437912291931
"Bangladesh","BD","BGD",2010,5.57178818849806
"Bulgaria","BG","BGR",2020,-3.95861459810695
"Bulgaria","BG","BGR",2019,4.03814220572653
"Bulgaria","BG","BGR",2018,2.68476058693781
"Bulgaria","BG","BGR",2017,2.76217095961262
"Bulgaria","BG","BGR",2016,3.03982527630795
"Bulgaria","BG","BGR",2015,3.42805491352132
"Bulgaria","BG","BGR",2014,0.96686903234496
"Bulgaria","BG","BGR",2013,-0.56049396557782
"Bulgaria","BG","BGR",2012,0.754930385981893
"Bulgaria","BG","BGR",2011,2.10120575009232
"Bulgaria","BG","BGR",2010,1.54180144307578
"Brazil","BR","BRA",2020,-3.87867633397198
"Brazil","BR","BRA",2019,1.22077782360842
"Brazil","BR","BRA",2018,1.783666761634
"Brazil","BR","BRA",2017,1.32286905404399
"Brazil","BR","BRA",2016,-3.27591690782192
"Brazil","BR","BRA",2015,-3.54576339269425
"Brazil","BR","BRA",2014,0.503955740242247
"Brazil","BR","BRA",2013,3.00482266944432
"Brazil","BR","BRA",2012,1.92117598576537
"Brazil","BR","BRA",2011,3.97442307944702
"Brazil","BR","BRA",2010,7.52822581815364
"Canada","CA","CAN",2020,-5.23302430280606
"Canada","CA","CAN",2019,1.87959202770178
"Canada","CA","CAN",2018,2.77704055379553
"Canada","CA","CAN",2017,3.03988022528195
"Canada","CA","CAN",2016,1.00139441390405
"Canada","CA","CAN",2015,0.659176863558869
"Canada","CA","CAN",2014,2.87003607545671
"Canada","CA","CAN",2013,2.3291225062102
"Canada","CA","CAN",2012,1.76222254945881
"Canada","CA","CAN",2011,3.14688137207058
"Canada","CA","CAN",2010,3.08949461982786
"Germany","DE","DEU",2020,-3.69678870538043
"Germany","DE","DEU",2019,1.05660389828289
"Germany","DE","DEU",2018,0.981232606004738
"Germany","DE","DEU",2017,2.68023111405891
"Germany","DE","DEU",2016,2.22999986782015
"Germany","DE","DEU",2015,1.49193152760772
"Germany","DE","DEU",2014,2.20954343134872
"Germany","DE","DEU",2013,0.437591303144671
"Germany","DE","DEU",2012,0.418497594217598
"Germany","DE","DEU",2011,3.92519270463411
"Germany","DE","DEU",2010,4.17988249873657
"Denmark","DK","DNK",2020,-1.99460756850381
"Denmark","DK","DNK",2019,1.49348695853648
"Denmark","DK","DNK",2018,1.98953731496432
"Denmark","DK","DNK",2017,2.82173634129026
"Denmark","DK","DNK",2016,3.24595698524399
"Denmark","DK","DNK",2015,2.34259110757047
"Denmark","DK","DNK",2014,1.61939381103033
"Denmark","DK","DNK",2013,0.933340972371226
"Denmark","DK","DNK",2012,0.226499791802965
"Denmark","DK","DNK",2011,1.33677776690328
"Denmark","DK","DNK",2010,1.87099114718497
"Egypt, Arab Rep.","EG","EGY",2020,3.5696694750486
"Egypt, Arab Rep.","EG","EGY",2019,5.55768388791593
"Egypt, Arab Rep.","EG","EGY",2018,5.31412103746398
"Egypt, Arab Rep.","EG","EGY",2017,4.18122100091018
"Egypt, Arab Rep.","EG","EGY",2016,4.34664345337812
"Egypt, Arab Rep.","EG","EGY",2015,4.37201907940117
"Egypt, Arab Rep.","EG","EGY",2014,2.91591187883586
"Egypt, Arab Rep.","EG","EGY",2013,2.18546605471226
"Egypt, Arab Rep.","EG","EGY",2012,2.22619979662137
"Egypt, Arab Rep.","EG","EGY",2011,1.76457194925801
"Egypt, Arab Rep.","EG","EGY",2010,5.14723485873294
"Ghana","GH","GHA",2020,0.513941648320653
"Ghana","GH","GHA",2019,6.5077747939152
"Ghana","GH","GHA",2018,6.20007768127284
"Ghana","GH","GHA",2017,8.12889488100956
"Ghana","GH","GHA",2016,3.37346574966936
"Ghana","GH","GHA",2015,2.12075933817334
"Ghana","GH","GHA",2014,2.85624016330883
"Ghana","GH","GHA",2013,7.31252501678145
"Ghana","GH","GHA",2012,9.2927894063005
"Ghana","GH","GHA",2011,14.0471235803149
"Ghana","GH","GHA",2010,7.89971194051621
"Indonesia","ID","IDN",2020,-2.06500494092904
"Indonesia","ID","IDN",2019,5.01928768046282
"Indonesia","ID","IDN",2018,5.17429153955024
"Indonesia","ID","IDN",2017,5.06978590134916
"Indonesia","ID","IDN",2016,5.03306918280177
"Indonesia","ID","IDN",2015,4.87632230022123
"Indonesia","ID","IDN",2014,5.006668425755
"Indonesia","ID","IDN",2013,5.5572636889101
"Indonesia","ID","IDN",2012,6.03005065305615
"Indonesia","ID","IDN",2011,6.16978420771008
"Indonesia","ID","IDN",2010,6.22385418062366
"India","IN","IND",2020,-6.59608052232176
"India","IN","IND",2019,3.73791851955785
"India","IN","IND",2018,6.45385134497769
"India","IN","IND",2017,6.79538341897911
"India","IN","IND",2016,8.25630550179086
"India","IN","IND",2015,7.99625378571471
"India","IN","IND",2014,7.41022760508854
"India","IN","IND",2013,6.38610640094825
"India","IN","IND",2012,5.45638875297365
"India","IN","IND",2011,5.24131500140663
"India","IN","IND",2010,8.49758470158106
"Iran, Islamic Rep.","IR","IRN",2020,3.33028845926594
"Iran, Islamic Rep.","IR","IRN",2019,-2.65820666195272
"Iran, Islamic Rep.","IR","IRN",2018,-2.25386360686099
"Iran, Islamic Rep.","IR","IRN",2017,2.75850524578875
"Iran, Islamic Rep.","IR","IRN",2016,8.8150866425182
"Iran, Islamic Rep.","IR","IRN",2015,-1.42488493937491
"Iran, Islamic Rep.","IR","IRN",2014,4.98477506709494
"Iran, Islamic Rep.","IR","IRN",2013,-1.52197920494163
"Iran, Islamic Rep.","IR","IRN",2012,-3.7471713986414
"Iran, Islamic Rep.","IR","IRN",2011,2.64571791806256
"Iran, Islamic Rep.","IR","IRN",2010,5.79793830169604
"Iraq","IQ","IRQ",2020,-11.3241992616186
"Iraq","IQ","IRQ",2019,5.51379057542323
"Iraq","IQ","IRQ",2018,2.63385099105624
"Iraq","IQ","IRQ",2017,-1.81975035118309
"Iraq","IQ","IRQ",2016,13.7873730187089
"Iraq","IQ","IRQ",2015,4.72286401884131
"Iraq","IQ","IRQ",2014,0.197016710359037
"Iraq","IQ","IRQ",2013,7.62857118471159
"Iraq","IQ","IRQ",2012,13.9364301737537
"Iraq","IQ","IRQ",2011,7.546471200426
"Iraq","IQ","IRQ",2010,6.40256484471193
"Israel","IL","ISR",2020,-1.85728927811242
"Israel","IL","ISR",2019,4.15613798897733
"Israel","IL","ISR",2018,4.0703218874397
"Israel","IL","ISR",2017,4.27659595115593
"Israel","IL","ISR",2016,4.52168030880658
"Israel","IL","ISR",2015,2.48582628898106
"Israel","IL","ISR",2014,3.91912689280952
"Israel","IL","ISR",2013,4.41550158737924
"Israel","IL","ISR",2012,2.58765384384346
"Israel","IL","ISR",2011,5.56113907589013
"Israel","IL","ISR",2010,5.66851511790733
"Japan","JP","JPN",2020,-4.50690454226634
"Japan","JP","JPN",2019,-0.240350840922716
"Japan","JP","JPN",2018,0.584068067242868
"Japan","JP","JPN",2017,1.67533175166503
"Japan","JP","JPN",2016,0.753826745903538
"Japan","JP","JPN",2015,1.56062669674904
"Japan","JP","JPN",2014,0.296205514142628
"Japan","JP","JPN",2013,2.0051001767726
"Japan","JP","JPN",2012,1.37475099920874
"Japan","JP","JPN",2011,0.0238095237748297
"Japan","JP","JPN",2010,4.09791791930137
"Kenya","KE","KEN",2020,-0.250155704968378
"Kenya","KE","KEN",2019,5.11415885767801
"Kenya","KE","KEN",2018,5.64794640709219
"Kenya","KE","KEN",2017,3.83795817364721
"Kenya","KE","KEN",2016,4.21351706814744
"Kenya","KE","KEN",2015,4.96772112759767
"Kenya","KE","KEN",2014,5.02011100232484
"Kenya","KE","KEN",2013,3.7978483925754
"Kenya","KE","KEN",2012,4.56867961444982
"Kenya","KE","KEN",2011,5.1211061197056
"Kenya","KE","KEN",2010,8.05847360290906
"Korea, Rep.","KR","KOR",2020,-0.709415359397681
"Korea, Rep.","KR","KOR",2019,2.24397786011012
"Korea, Rep.","KR","KOR",2018,2.90740377377135
"Korea, Rep.","KR","KOR",2017,3.15963574012777
"Korea, Rep.","KR","KOR",2016,2.94688171508626
"Korea, Rep.","KR","KOR",2015,2.80910326824133
"Korea, Rep.","KR","KOR",2014,3.2024537945736
"Korea, Rep.","KR","KOR",2013,3.16470863647184
"Korea, Rep.","KR","KOR",2012,2.40253099246186
"Korea, Rep.","KR","KOR",2011,3.68566778212526
"Korea, Rep.","KR","KOR",2010,6.80482491783671
"Libya","LY","LBY",2020,-23.9297824475795
"Libya","LY","LBY",2019,-11.1956945908638
"Libya","LY","LBY",2018,7.9413678529104
"Libya","LY","LBY",2017,32.4918021862688
"Libya","LY","LBY",2016,-1.4909411172622
"Libya","LY","LBY",2015,-0.842656252118843
"Libya","LY","LBY",2014,-23.0428058282215
"Libya","LY","LBY",2013,-17.9979615745681
"Libya","LY","LBY",2012,86.8267484395784
"Libya","LY","LBY",2011,-50.3385151384986
"Libya","LY","LBY",2010,5.0272476723775
"Sri Lanka","LK","LKA",2020,-3.47229681902881
"Sri Lanka","LK","LKA",2019,-0.220483886824823
"Sri Lanka","LK","LKA",2018,2.31008425504933
"Sri Lanka","LK","LKA",2017,6.46068127080994
"Sri Lanka","LK","LKA",2016,5.05362488993089
"Sri Lanka","LK","LKA",2015,4.20595547501601
"Sri Lanka","LK","LKA",2014,6.37797889684965
"Sri Lanka","LK","LKA",2013,4.0517463303875
"Sri Lanka","LK","LKA",2012,8.6321813769906
"Sri Lanka","LK","LKA",2011,8.66948301160571
"Sri Lanka","LK","LKA",2010,8.01596737040464
"Mexico","MX","MEX",2020,-7.98791234014749
"Mexico","MX","MEX",2019,-0.199047772272948
"Mexico","MX","MEX",2018,2.19499472522698
"Mexico","MX","MEX",2017,2.11312913549695
"Mexico","MX","MEX",2016,2.63053242455089
"Mexico","MX","MEX",2015,3.29315152833387
"Mexico","MX","MEX",2014,2.84977325490688
"Mexico","MX","MEX",2013,1.35409196151679
"Mexico","MX","MEX",2012,3.64232267941347
"Mexico","MX","MEX",2011,3.66300792950094
"Mexico","MX","MEX",2010,5.11811814321163
"Mauritius","MU","MUS",2020,-14.5973984306875
"Mauritius","MU","MUS",2019,2.89146495664785
"Mauritius","MU","MUS",2018,4.00674057198549
"Mauritius","MU","MUS",2017,3.93798380632353
"Mauritius","MU","MUS",2016,3.8624682634
"Mauritius","MU","MUS",2015,3.69055690369433
"Mauritius","MU","MUS",2014,3.82696982009337
"Mauritius","MU","MUS",2013,3.36040609974133
"Mauritius","MU","MUS",2012,3.49611836470866
"Mauritius","MU","MUS",2011,4.07753806610333
"Mauritius","MU","MUS",2010,4.37720322344293
"Nigeria","NG","NGA",2020,-1.79425308233591
"Nigeria","NG","NGA",2019,2.2084292771582
"Nigeria","NG","NGA",2018,1.92275734157302
"Nigeria","NG","NGA",2017,0.805886619542704
"Nigeria","NG","NGA",2016,-1.61686894991816
"Nigeria","NG","NGA",2015,2.65269329541835
"Nigeria","NG","NGA",2014,6.30971865572383
"Nigeria","NG","NGA",2013,6.67133539288378
"Nigeria","NG","NGA",2012,4.23006117510553
"Nigeria","NG","NGA",2011,5.30792420366642
"Nigeria","NG","NGA",2010,8.00565591528178
"New Zealand","NZ","NZL",2020,-1.25266452942354
"New Zealand","NZ","NZL",2019,2.19247721643698
"New Zealand","NZ","NZL",2018,3.35921954753083
"New Zealand","NZ","NZL",2017,3.5782782762582
"New Zealand","NZ","NZL",2016,3.76744771676979
"New Zealand","NZ","NZL",2015,3.74433219794898
"New Zealand","NZ","NZL",2014,3.81542760298834
"New Zealand","NZ","NZL",2013,2.69541661751269
"New Zealand","NZ","NZL",2012,2.24530293523672
"New Zealand","NZ","NZL",2011,2.25175863315354
"New Zealand","NZ","NZL",2010,1.523877570677
"Pakistan","PK","PAK",2020,-1.27408744338709
"Pakistan","PK","PAK",2019,2.49763692943365
"Pakistan","PK","PAK",2018,6.15170261099519
"Pakistan","PK","PAK",2017,4.43262590683975
"Pakistan","PK","PAK",2016,5.52673584476604
"Pakistan","PK","PAK",2015,4.73114747532071
"Pakistan","PK","PAK",2014,4.67470798154832
"Pakistan","PK","PAK",2013,4.39645663353076
"Pakistan","PK","PAK",2012,3.50703341999964
"Pakistan","PK","PAK",2011,2.74840591749019
"Pakistan","PK","PAK",2010,1.60668862898785
"Romania","RO","ROU",2020,-3.67751079121797
"Romania","RO","ROU",2019,3.85316383348211
"Romania","RO","ROU",2018,6.02901904128214
"Romania","RO","ROU",2017,8.19650650309624
"Romania","RO","ROU",2016,2.8575460568877
"Romania","RO","ROU",2015,3.16050387041089
"Romania","RO","ROU",2014,4.12067496319813
"Romania","RO","ROU",2013,0.269963878633803
"Romania","RO","ROU",2012,1.92499326240754
"Romania","RO","ROU",2011,4.51708696433914
"Romania","RO","ROU",2010,-3.90123628018621
"Russian Federation","RU","RUS",2020,-2.66375751111333
"Russian Federation","RU","RUS",2019,2.19807571380863
"Russian Federation","RU","RUS",2018,2.80724541049418
"Russian Federation","RU","RUS",2017,1.82579006355112
"Russian Federation","RU","RUS",2016,0.193690071729534
"Russian Federation","RU","RUS",2015,-1.97271922637542
"Russian Federation","RU","RUS",2014,0.736267221415574
"Russian Federation","RU","RUS",2013,1.75542214909368
"Russian Federation","RU","RUS",2012,4.02408615720979
"Russian Federation","RU","RUS",2011,4.3000291857941
"Russian Federation","RU","RUS",2010,4.50000000003065
"Sweden","SE","SWE",2020,-2.17021317885872
"Sweden","SE","SWE",2019,1.98619587380391
"Sweden","SE","SWE",2018,1.95002284569983
"Sweden","SE","SWE",2017,2.56792452526476
"Sweden","SE","SWE",2016,2.07059315052096
"Sweden","SE","SWE",2015,4.48928158790491
"Sweden","SE","SWE",2014,2.65779827531642
"Sweden","SE","SWE",2013,1.187775715906
"Sweden","SE","SWE",2012,-0.588304568990736
"Sweden","SE","SWE",2011,3.1953332348894
"Sweden","SE","SWE",2010,5.95210700755608
"Turkiye","TR","TUR",2020,1.9400322454902
"Turkiye","TR","TUR",2019,0.783610198384551
"Turkiye","TR","TUR",2018,2.97988525813022
"Turkiye","TR","TUR",2017,7.50199748917491
"Turkiye","TR","TUR",2016,3.32308420845746
"Turkiye","TR","TUR",2015,6.08448690443663
"Turkiye","TR","TUR",2014,4.9397151613658
"Turkiye","TR","TUR",2013,8.48581699653026
"Turkiye","TR","TUR",2012,4.78849271108008
"Turkiye","TR","TUR",2011,11.2001105833504
"Turkiye","TR","TUR",2010,8.42710432276191
"United States","US","USA",2020,-2.76780251140578
"United States","US","USA",2019,2.29443907769311
"United States","US","USA",2018,2.9453848312678
"United States","US","USA",2017,2.24192121597748
"United States","US","USA",2016,1.66747207596187
"United States","US","USA",2015,2.70636958176399
"United States","US","USA",2014,2.28777593255359
"United States","US","USA",2013,1.84187539518688
"United States","US","USA",2012,2.28068760319185
"United States","US","USA",2011,1.54989495017045
"United States","US","USA",2010,2.70885669419681
